2019-01-19-01-15-13  Notice   Starting Nancy on http://localhost:8888
2019-01-19-01-15-25  Notice   Application started
2019-01-19-01-15-25  Notice   Running mailing task
2019-01-19-01-15-25  Notice   Mailing task complete
2019-01-19-01-15-25  Notice   Running billing task
2019-01-19-01-15-29  Notice   User admin id 2d14db38-9839-439e-94ca-6a332f8d56c6 logged in.
2019-01-19-01-15-30  Notice   Billing process modified Susan Wright: Created bill 20190119M0000185 for Susan Wright in Piratenpartei Zentralschweiz
2019-01-19-01-15-32  Notice   Billing process modified Donna Diaz: Created bill 20190119M0000186 for Donna Diaz in Piratenpartei Zentralschweiz
2019-01-19-01-15-33  Notice   Billing process modified Paul E. D. Hughes: Created bill 20190119M0000187 for Paul E. D. Hughes in Piratenpartei Zentralschweiz
2019-01-19-01-15-34  Notice   Billing process modified Susan Henderson: Created bill 20190119M0000188 for Susan Henderson in Piratenpartei Zentralschweiz
2019-01-19-01-15-35  Notice   Billing process modified Richard A. Johnson: Created bill 20190119M0000189 for Richard A. Johnson in Piratenpartei Zentralschweiz
2019-01-19-01-15-35  Notice   Billing task complete
2019-01-19-01-15-35  Notice   Running mailing task
2019-01-19-01-15-36  Verbose  Sending message to "Scott Cooper" <stefan+scott.cooper@savvy.ch>
2019-01-19-01-15-36  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-19-01-15-36  Info     Message sent to "Scott Cooper" <stefan+scott.cooper@savvy.ch>
2019-01-19-01-15-36  Notice   Billing process modified Scott Cooper: Sent bill 20190118M0000181 using template L1G by e-mail to stefan+scott.cooper@savvy.ch
2019-01-19-01-15-36  Verbose  Sending message to "William Martin" <stefan+william.martin@savvy.ch>
2019-01-19-01-15-36  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-19-01-15-36  Info     Message sent to "William Martin" <stefan+william.martin@savvy.ch>
2019-01-19-01-15-36  Notice   Billing process modified William Martin: Sent bill 20190118M0000182 using template L1G by e-mail to stefan+william.martin@savvy.ch
2019-01-19-01-15-36  Verbose  Sending message to "Nancy Jones" <stefan+nancy.jones@savvy.ch>
2019-01-19-01-15-36  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-19-01-15-36  Info     Message sent to "Nancy Jones" <stefan+nancy.jones@savvy.ch>
2019-01-19-01-15-36  Notice   Billing process modified Nancy Jones: Sent bill 20190118M0000183 using template L1G by e-mail to stefan+nancy.jones@savvy.ch
2019-01-19-01-15-36  Verbose  Sending message to "Ryan S. Young" <stefan+ryan.young@savvy.ch>
2019-01-19-01-15-37  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-19-01-15-37  Info     Message sent to "Ryan S. Young" <stefan+ryan.young@savvy.ch>
2019-01-19-01-15-37  Notice   Billing process modified Ryan S. Young: Sent bill 20190118M0000184 using template L1G by e-mail to stefan+ryan.young@savvy.ch
2019-01-19-01-15-37  Verbose  Sending message to "Susan Wright" <stefan+susan.wright@savvy.ch>
2019-01-19-01-15-37  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-19-01-15-37  Info     Message sent to "Susan Wright" <stefan+susan.wright@savvy.ch>
2019-01-19-01-15-37  Notice   Billing process modified Susan Wright: Sent bill 20190119M0000185 using template L1G by e-mail to stefan+susan.wright@savvy.ch
2019-01-19-01-15-37  Notice   Mailing task complete
