2019-01-18-23-15-19  Notice   Starting Nancy on http://localhost:8888
2019-01-18-23-15-31  Notice   Application started
2019-01-18-23-15-31  Notice   Running mailing task
2019-01-18-23-15-31  Notice   Mailing task complete
2019-01-18-23-15-31  Notice   Running billing task
2019-01-18-23-15-34  Info     Unsuccessful login attempt: Username admin or password mismatch.
2019-01-18-23-15-36  Notice   Billing process modified Angela Stewart: Created bill 20190118M0000170 for Angela Stewart in Piratenpartei Zentralschweiz
2019-01-18-23-15-37  Notice   Billing process modified Amanda L. D. Patterson: Created bill 20190118M0000171 for Amanda L. D. Patterson in Piratenpartei Zentralschweiz
2019-01-18-23-15-38  Notice   Billing process modified Elizabeth Harris: Created bill 20190118M0000172 for Elizabeth Harris in Piratenpartei Zentralschweiz
2019-01-18-23-15-40  Notice   Billing process modified Nancy Martin: Created bill 20190118M0000173 for Nancy Martin in Piratenpartei Zentralschweiz
2019-01-18-23-15-41  Notice   Billing process modified Helen M. Rodriguez: Created bill 20190118M0000174 for Helen M. Rodriguez in Piratenpartei Zentralschweiz
2019-01-18-23-15-41  Notice   Billing task complete
2019-01-18-23-15-41  Notice   Running mailing task
2019-01-18-23-15-41  Verbose  Sending message to "Eric Walker" <stefan+eric.walker@savvy.ch>
2019-01-18-23-15-41  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-23-15-42  Info     Message sent to "Eric Walker" <stefan+eric.walker@savvy.ch>
2019-01-18-23-15-42  Notice   Billing process modified Eric Walker: Sent bill 20190118M0000166 using template L1G by e-mail to stefan+eric.walker@savvy.ch
2019-01-18-23-15-42  Verbose  Sending message to "Lisa B. Hernandez" <stefan+lisa.hernandez@savvy.ch>
2019-01-18-23-15-42  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-23-15-42  Info     Message sent to "Lisa B. Hernandez" <stefan+lisa.hernandez@savvy.ch>
2019-01-18-23-15-42  Notice   Billing process modified Lisa B. Hernandez: Sent bill 20190118M0000167 using template L1G by e-mail to stefan+lisa.hernandez@savvy.ch
2019-01-18-23-15-42  Verbose  Sending message to "Brian K. Lopez" <stefan+brian.lopez@savvy.ch>
2019-01-18-23-15-42  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-23-15-42  Info     Message sent to "Brian K. Lopez" <stefan+brian.lopez@savvy.ch>
2019-01-18-23-15-42  Notice   Billing process modified Brian K. Lopez: Sent bill 20190118M0000168 using template L1G by e-mail to stefan+brian.lopez@savvy.ch
2019-01-18-23-15-42  Verbose  Sending message to "Ruth Sanchez" <stefan+ruth.sanchez@savvy.ch>
2019-01-18-23-15-42  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-23-15-42  Info     Message sent to "Ruth Sanchez" <stefan+ruth.sanchez@savvy.ch>
2019-01-18-23-15-42  Notice   Billing process modified Ruth Sanchez: Sent bill 20190118M0000169 using template L1G by e-mail to stefan+ruth.sanchez@savvy.ch
2019-01-18-23-15-42  Verbose  Sending message to "Angela Stewart" <stefan+angela.stewart@savvy.ch>
2019-01-18-23-15-42  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-23-15-42  Info     Message sent to "Angela Stewart" <stefan+angela.stewart@savvy.ch>
2019-01-18-23-15-42  Notice   Billing process modified Angela Stewart: Sent bill 20190118M0000170 using template L1G by e-mail to stefan+angela.stewart@savvy.ch
2019-01-18-23-15-42  Notice   Mailing task complete
2019-01-18-23-15-42  Notice   User admin id 2d14db38-9839-439e-94ca-6a332f8d56c6 logged in.
2019-01-18-23-16-23  Notice   admin modified Kenneth Alexander: Changed password
