2019-01-18-20-06-53  Notice   Starting Nancy on http://localhost:8888
2019-01-18-20-07-05  Notice   Application started
2019-01-18-20-07-05  Notice   Running mailing task
2019-01-18-20-07-05  Notice   Mailing task complete
2019-01-18-20-07-05  Notice   Running billing task
2019-01-18-20-07-07  Notice   Billing process modified Elizabeth Rogers: Created bill 20190118M0000057 for Elizabeth Rogers in Piratenpartei Zentralschweiz
2019-01-18-20-07-09  Notice   Billing process modified Brandon Sanchez: Created bill 20190118M0000058 for Brandon Sanchez in Piratenpartei Zentralschweiz
2019-01-18-20-07-10  Notice   Billing process modified George Martinez: Created bill 20190118M0000059 for George Martinez in Piratenpartei Zentralschweiz
2019-01-18-20-07-11  Notice   Billing process modified Paul Campbell: Created bill 20190118M0000060 for Paul Campbell in Piratenpartei Zentralschweiz
2019-01-18-20-07-11  Notice   User admin id 2d14db38-9839-439e-94ca-6a332f8d56c6 logged in.
2019-01-18-20-07-12  Notice   Billing process modified Helen S. Roberts: Created bill 20190118M0000061 for Helen S. Roberts in Piratenpartei Zentralschweiz
2019-01-18-20-07-12  Notice   Billing task complete
2019-01-18-20-07-12  Notice   Running mailing task
2019-01-18-20-07-17  Notice   Billing process modified Angela Davis: Sent bill 20190118M0000056 using template L1G by post to Südring 14, 5400 Baden, Schweiz
2019-01-18-20-07-21  Notice   Billing process modified Elizabeth Rogers: Sent bill 20190118M0000057 using template L1G by post to Ostring 13, 5400 Baden, Schweiz
2019-01-18-20-07-23  Notice   admin changed bill sending template L1G
2019-01-18-20-07-24  Notice   Billing process modified Brandon Sanchez: Sent bill 20190118M0000058 using template L1G by post to Bundesplatz 10, 2300 La Chaux-de-Fonds, Schweiz
2019-01-18-20-07-24  Verbose  Sending message to "George Martinez" <stefan+george.martinez@savvy.ch>
2019-01-18-20-07-27  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-07-27  Info     Message sent to "George Martinez" <stefan+george.martinez@savvy.ch>
2019-01-18-20-07-27  Notice   Billing process modified George Martinez: Sent bill 20190118M0000059 using template L1G by e-mail to stefan+george.martinez@savvy.ch
2019-01-18-20-07-27  Verbose  Sending message to "Paul Campbell" <stefan+paul.campbell@savvy.ch>
2019-01-18-20-07-27  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-07-27  Info     Message sent to "Paul Campbell" <stefan+paul.campbell@savvy.ch>
2019-01-18-20-07-27  Notice   Billing process modified Paul Campbell: Sent bill 20190118M0000060 using template L1G by e-mail to stefan+paul.campbell@savvy.ch
2019-01-18-20-07-27  Notice   Mailing task complete
