2019-01-24-23-34-10  Notice   Starting Nancy on http://localhost:8888
2019-01-24-23-34-12  Notice   Application started
2019-01-24-23-34-12  Notice   Running mailing task
2019-01-24-23-34-12  Notice   Mailing task complete
2019-01-24-23-34-12  Notice   Running billing task
2019-01-24-23-34-17  Notice   Billing task complete
2019-01-24-23-34-17  Notice   Running mailing task
2019-01-24-23-34-17  Notice   Mailing task complete
2019-01-24-23-34-25  Notice   Login Process modified admin: Login with password succeeded
2019-01-24-23-35-26  Notice   admin modified admin: Logged in with two-factor authentication
2019-01-24-23-35-49  Verbose  Sending message to stefan@savvy.ch
2019-01-24-23-35-50  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-24-23-35-50  Info     Message sent to stefan@savvy.ch
2019-01-24-23-35-50  Notice   admin tests mailing with subject M1
2019-01-24-23-39-12  Notice   Running mailing task
2019-01-24-23-39-12  Notice   Mailing task complete
2019-01-24-23-39-12  Notice   Running billing task
2019-01-24-23-39-17  Notice   Billing task complete
2019-01-24-23-39-17  Notice   Running mailing task
2019-01-24-23-39-18  Notice   Mailing task complete
2019-01-24-23-44-13  Notice   Running mailing task
2019-01-24-23-44-13  Notice   Mailing task complete
2019-01-24-23-44-13  Notice   Running billing task
2019-01-24-23-44-18  Notice   Billing task complete
2019-01-24-23-44-18  Notice   Running mailing task
2019-01-24-23-44-18  Notice   Mailing task complete
2019-01-24-23-49-13  Notice   Running mailing task
2019-01-24-23-49-14  Notice   Mailing task complete
2019-01-24-23-49-14  Notice   Running billing task
2019-01-24-23-49-18  Notice   Billing task complete
2019-01-24-23-49-18  Notice   Running mailing task
2019-01-24-23-49-19  Notice   Mailing task complete
2019-01-24-23-54-14  Notice   Running mailing task
2019-01-24-23-54-14  Notice   Mailing task complete
2019-01-24-23-54-14  Notice   Running billing task
2019-01-24-23-54-19  Notice   Billing task complete
2019-01-24-23-54-19  Notice   Running mailing task
2019-01-24-23-54-20  Notice   Mailing task complete
2019-01-24-23-59-15  Notice   Running mailing task
2019-01-24-23-59-15  Notice   Mailing task complete
2019-01-24-23-59-15  Notice   Running billing task
2019-01-24-23-59-19  Notice   Billing task complete
2019-01-24-23-59-19  Notice   Running mailing task
2019-01-24-23-59-20  Notice   Mailing task complete
2019-01-25-00-04-15  Notice   Running mailing task
2019-01-25-00-04-15  Notice   Mailing task complete
2019-01-25-00-04-15  Notice   Running billing task
2019-01-25-00-04-20  Notice   Billing task complete
2019-01-25-00-04-20  Notice   Running mailing task
2019-01-25-00-04-20  Notice   Mailing task complete
2019-01-25-00-09-15  Notice   Running mailing task
2019-01-25-00-09-16  Notice   Mailing task complete
2019-01-25-00-09-16  Notice   Running billing task
2019-01-25-00-09-20  Notice   Billing task complete
2019-01-25-00-09-20  Notice   Running mailing task
2019-01-25-00-09-21  Notice   Mailing task complete
2019-01-25-00-14-16  Notice   Running mailing task
2019-01-25-00-14-16  Notice   Mailing task complete
2019-01-25-00-14-16  Notice   Running billing task
2019-01-25-00-14-21  Notice   Billing task complete
2019-01-25-00-14-21  Notice   Running mailing task
2019-01-25-00-14-21  Notice   Mailing task complete
2019-01-25-00-18-27  Notice   admin changed mailing element Test
2019-01-25-00-18-45  Verbose  Sending message to stefan@savvy.ch
2019-01-25-00-18-45  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-25-00-18-46  Info     Message sent to stefan@savvy.ch
2019-01-25-00-18-46  Notice   admin tests mailing with subject M1
2019-01-25-00-19-17  Notice   Running mailing task
2019-01-25-00-19-17  Notice   Mailing task complete
2019-01-25-00-19-17  Notice   Running billing task
