2019-01-16-17-29-02  Notice   Starting Nancy on http://localhost:8888
2019-01-16-17-29-14  Notice   Application started
2019-01-16-17-29-14  Notice   Running mailing task
2019-01-16-17-29-14  Notice   Mailing task complete
2019-01-16-17-29-14  Notice   Running billing task
2019-01-16-17-29-16  Notice   Billing process modified Sarah Cook: Created bill 20190116M0000002 for Sarah Cook in Piratenpartei Zentralschweiz
2019-01-16-17-29-17  Notice   Billing process modified Jacob J. Howard: Created bill 20190116M0000003 for Jacob J. Howard in Piratenpartei Zentralschweiz
2019-01-16-17-29-18  Notice   Billing process modified Laura Long: Created bill 20190116M0000004 for Laura Long in Piratenpartei Zentralschweiz
2019-01-16-17-29-19  Notice   Billing process modified Amy E. S. Watson: Created bill 20190116M0000005 for Amy E. S. Watson in Piratenpartei Zentralschweiz
2019-01-16-17-29-20  Notice   Billing process modified Nancy Gonzales: Created bill 20190116M0000006 for Nancy Gonzales in Piratenpartei Zentralschweiz
2019-01-16-17-29-20  Notice   Billing task complete
2019-01-16-17-29-30  Notice   User admin id e9e10edf-01c6-4d01-ac73-86bc7be6966d logged in.
2019-01-16-17-29-47  Error    System.ArgumentNullException: Value cannot be null.
2019-01-16-17-29-47  Error    Parameter name: text
2019-01-16-17-29-47  Error    at MimeKit.TextPart.SetText (System.Text.Encoding encoding, System.String text) [0x00011] in <6ac45f1933304e04ace52cb3ffd1ae30>:0
2019-01-16-17-29-47  Error    at MimeKit.TextPart.set_Text (System.String value) [0x00006] in <6ac45f1933304e04ace52cb3ffd1ae30>:0
2019-01-16-17-29-47  Error    at Quaestur.MembershipTypeEditModule.<.ctor>b__0_9 (System.Object parameters) [0x00309] in /Dev/Code/Quaestur/Quaestur/Module/MembershipTypeEditModule.cs:441
2019-01-16-17-29-47  Error    at (wrapper dynamic-method) System.Object.CallSite.Target(System.Runtime.CompilerServices.Closure,System.Runtime.CompilerServices.CallSite,System.Func`2<object, object>,object)
2019-01-16-17-29-47  Error    at Nancy.Routing.Route+<>c__DisplayClass15_0.<Wrap>b__0 (System.Object parameters, System.Threading.CancellationToken context) [0x00047] in <b19e8b2217d04f0da83734dfcf376ab0>:0
