2019-01-18-23-14-27  Notice   Starting Nancy on http://localhost:8888
2019-01-18-23-14-39  Notice   Application started
2019-01-18-23-14-39  Notice   Running mailing task
2019-01-18-23-14-39  Notice   Mailing task complete
2019-01-18-23-14-39  Notice   Running billing task
2019-01-18-23-14-43  Notice   User admin id 2d14db38-9839-439e-94ca-6a332f8d56c6 logged in.
2019-01-18-23-14-44  Notice   Billing process modified Barbara Lewis: Created bill 20190118M0000165 for Barbara Lewis in Piratenpartei Zentralschweiz
2019-01-18-23-14-45  Notice   Billing process modified Eric Walker: Created bill 20190118M0000166 for Eric Walker in Piratenpartei Zentralschweiz
2019-01-18-23-14-47  Notice   Billing process modified Lisa B. Hernandez: Created bill 20190118M0000167 for Lisa B. Hernandez in Piratenpartei Zentralschweiz
2019-01-18-23-14-48  Notice   Billing process modified Brian K. Lopez: Created bill 20190118M0000168 for Brian K. Lopez in Piratenpartei Zentralschweiz
2019-01-18-23-14-49  Notice   Billing process modified Ruth Sanchez: Created bill 20190118M0000169 for Ruth Sanchez in Piratenpartei Zentralschweiz
2019-01-18-23-14-49  Notice   Billing task complete
2019-01-18-23-14-49  Notice   Running mailing task
2019-01-18-23-14-50  Verbose  Sending message to "Shirley Phillips" <stefan+shirley.phillips@savvy.ch>
2019-01-18-23-14-50  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-23-14-50  Info     Message sent to "Shirley Phillips" <stefan+shirley.phillips@savvy.ch>
2019-01-18-23-14-50  Notice   Billing process modified Shirley Phillips: Sent bill 20190118M0000161 using template L1G by e-mail to stefan+shirley.phillips@savvy.ch
2019-01-18-23-14-50  Verbose  Sending message to "Ruth Bryant" <stefan+ruth.bryant@savvy.ch>
2019-01-18-23-14-50  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-23-14-50  Info     Message sent to "Ruth Bryant" <stefan+ruth.bryant@savvy.ch>
2019-01-18-23-14-50  Notice   Billing process modified Ruth Bryant: Sent bill 20190118M0000162 using template L1G by e-mail to stefan+ruth.bryant@savvy.ch
2019-01-18-23-14-50  Verbose  Sending message to "Scott Peterson" <stefan+scott.peterson@savvy.ch>
2019-01-18-23-14-50  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-23-14-50  Info     Message sent to "Scott Peterson" <stefan+scott.peterson@savvy.ch>
2019-01-18-23-14-50  Notice   Billing process modified Scott Peterson: Sent bill 20190118M0000163 using template L1G by e-mail to stefan+scott.peterson@savvy.ch
2019-01-18-23-14-50  Verbose  Sending message to "Amanda Torres" <stefan+amanda.torres@savvy.ch>
2019-01-18-23-14-51  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-23-14-51  Info     Message sent to "Amanda Torres" <stefan+amanda.torres@savvy.ch>
2019-01-18-23-14-51  Notice   Billing process modified Amanda Torres: Sent bill 20190118M0000164 using template L1G by e-mail to stefan+amanda.torres@savvy.ch
2019-01-18-23-14-51  Verbose  Sending message to "Barbara Lewis" <stefan+barbara.lewis@savvy.ch>
2019-01-18-23-14-51  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-23-14-51  Info     Message sent to "Barbara Lewis" <stefan+barbara.lewis@savvy.ch>
2019-01-18-23-14-51  Notice   Billing process modified Barbara Lewis: Sent bill 20190118M0000165 using template L1G by e-mail to stefan+barbara.lewis@savvy.ch
2019-01-18-23-14-51  Notice   Mailing task complete
2019-01-18-23-15-02  Notice   admin modified admin: Changed password
