2019-01-18-17-39-59  Notice   Starting Nancy on http://localhost:8888
2019-01-18-17-40-10  Notice   Application started
2019-01-18-17-40-10  Notice   Running mailing task
2019-01-18-17-40-10  Notice   Mailing task complete
2019-01-18-17-40-10  Notice   Running billing task
2019-01-18-17-40-13  Notice   Billing process modified Charles Rogers: Created bill 20190118M0000027 for Charles Rogers in Piratenpartei Zentralschweiz
2019-01-18-17-40-14  Notice   Billing process modified Angela Bailey: Created bill 20190118M0000028 for Angela Bailey in Piratenpartei Zentralschweiz
2019-01-18-17-40-15  Notice   Billing process modified Eric Rogers: Created bill 20190118M0000029 for Eric Rogers in Piratenpartei Zentralschweiz
2019-01-18-17-40-17  Notice   Billing process modified Anthony Moore: Created bill 20190118M0000030 for Anthony Moore in Piratenpartei Zentralschweiz
2019-01-18-17-40-18  Notice   Billing process modified Steven Thompson: Created bill 20190118M0000031 for Steven Thompson in Piratenpartei Zentralschweiz
2019-01-18-17-40-18  Notice   Billing task complete
2019-01-18-17-40-18  Notice   Running mailing task
2019-01-18-17-40-22  Notice   Billing process modified Charles Rogers: Sent bill 20190118M0000027 using template L1G by post to Sonneggweg 23, 3700 Spiez, Schweiz
2019-01-18-17-40-26  Notice   Billing process modified Angela Bailey: Sent bill 20190118M0000028 using template L1G by post to Elfenstrasse 5, 3600 Thun, Schweiz
2019-01-18-17-40-29  Notice   Billing process modified Eric Rogers: Sent bill 20190118M0000029 using template L1G by post to Pilgerweg 13, 8000 Zürich, Schweiz
2019-01-18-17-40-33  Notice   Billing process modified Anthony Moore: Sent bill 20190118M0000030 using template L1G by post to Erlenweg 5, 2900 Porrentruy, Schweiz
2019-01-18-17-40-36  Notice   User admin id 2d14db38-9839-439e-94ca-6a332f8d56c6 logged in.
2019-01-18-17-40-37  Notice   Billing process modified Steven Thompson: Sent bill 20190118M0000031 using template L1G by post to Rathausgasse 3, 5200 Brugg, Schweiz
2019-01-18-17-40-37  Notice   Mailing task complete
2019-01-18-17-40-57  Error    System.InvalidOperationException: Failed to compare two elements in the array. ---> System.ArgumentException: At least one object must implement IComparable.
2019-01-18-17-40-57  Error    at System.Collections.Comparer.Compare (System.Object a, System.Object b) [0x00057] in <7b0d87324cab49bf96eac679025e77d1>:0
2019-01-18-17-40-57  Error    at System.Collections.Generic.ObjectComparer`1[T].Compare (T x, T y) [0x00000] in <7b0d87324cab49bf96eac679025e77d1>:0
2019-01-18-17-40-57  Error    at System.Linq.EnumerableSorter`2[TElement,TKey].CompareAnyKeys (System.Int32 index1, System.Int32 index2) [0x00000] in <079d1695f1b940b981a821e75d331759>:0
2019-01-18-17-40-57  Error    at System.Collections.Generic.ComparisonComparer`1[T].Compare (T x, T y) [0x00000] in <7b0d87324cab49bf96eac679025e77d1>:0
2019-01-18-17-40-57  Error    at System.Collections.Generic.ArraySortHelper`1[T].InsertionSort (T[] keys, System.Int32 lo, System.Int32 hi, System.Comparison`1[T] comparer) [0x0002a] in <7b0d87324cab49bf96eac679025e77d1>:0
2019-01-18-17-40-57  Error    at System.Collections.Generic.ArraySortHelper`1[T].IntroSort (T[] keys, System.Int32 lo, System.Int32 hi, System.Int32 depthLimit, System.Comparison`1[T] comparer) [0x0004b] in <7b0d87324cab49bf96eac679025e77d1>:0
2019-01-18-17-40-57  Error    at System.Collections.Generic.ArraySortHelper`1[T].IntrospectiveSort (T[] keys, System.Int32 left, System.Int32 length, System.Comparison`1[T] comparer) [0x00015] in <7b0d87324cab49bf96eac679025e77d1>:0
2019-01-18-17-40-57  Error    at System.Collections.Generic.ArraySortHelper`1[T].Sort (T[] keys, System.Int32 index, System.Int32 length, System.Collections.Generic.IComparer`1[T] comparer) [0x0000a] in <7b0d87324cab49bf96eac679025e77d1>:0
2019-01-18-17-40-57  Error    --- End of inner exception stack trace ---
2019-01-18-17-40-57  Error    at System.Collections.Generic.ArraySortHelper`1[T].Sort (T[] keys, System.Int32 index, System.Int32 length, System.Collections.Generic.IComparer`1[T] comparer) [0x00036] in <7b0d87324cab49bf96eac679025e77d1>:0
2019-01-18-17-40-57  Error    at System.Array.Sort[T] (T[] array, System.Int32 index, System.Int32 length, System.Collections.Generic.IComparer`1[T] comparer) [0x00048] in <7b0d87324cab49bf96eac679025e77d1>:0
2019-01-18-17-40-57  Error    at System.Linq.EnumerableSorter`2[TElement,TKey].QuickSort (System.Int32[] keys, System.Int32 lo, System.Int32 hi) [0x00019] in <079d1695f1b940b981a821e75d331759>:0
2019-01-18-17-40-57  Error    at System.Linq.EnumerableSorter`1[TElement].Sort (TElement[] elements, System.Int32 count) [0x00009] in <079d1695f1b940b981a821e75d331759>:0
2019-01-18-17-40-57  Error    at System.Linq.OrderedEnumerable`1[TElement].SortedMap (System.Linq.Buffer`1[TElement] buffer) [0x00006] in <079d1695f1b940b981a821e75d331759>:0
2019-01-18-17-40-57  Error    at System.Linq.OrderedEnumerable`1+<GetEnumerator>d__3[TElement].MoveNext () [0x0003d] in <079d1695f1b940b981a821e75d331759>:0
2019-01-18-17-40-57  Error    at System.Linq.Enumerable+SelectIPartitionIterator`2[TSource,TResult].MoveNext () [0x00029] in <079d1695f1b940b981a821e75d331759>:0
