2019-01-20-01-52-10  Notice   Starting Nancy on http://localhost:8888
2019-01-20-01-52-22  Notice   Application started
2019-01-20-01-52-22  Notice   Running mailing task
2019-01-20-01-52-22  Notice   Mailing task complete
2019-01-20-01-52-22  Notice   Running billing task
2019-01-20-01-52-27  Notice   Billing task complete
2019-01-20-01-52-27  Notice   Running mailing task
2019-01-20-01-52-27  Notice   Mailing task complete
2019-01-20-01-52-40  Notice   Login Process modified Stefan Thöni: Login with password succeeded
2019-01-20-01-52-50  Notice   Stefan Thöni modified Stefan Thöni: Logged in with two-factor authentication
2019-01-20-01-57-22  Notice   Running mailing task
2019-01-20-01-57-22  Notice   Mailing task complete
2019-01-20-01-57-22  Notice   Running billing task
2019-01-20-01-57-27  Notice   Billing task complete
2019-01-20-01-57-27  Notice   Running mailing task
2019-01-20-01-57-28  Notice   Mailing task complete
2019-01-20-02-02-23  Notice   Running mailing task
2019-01-20-02-02-23  Notice   Mailing task complete
2019-01-20-02-02-23  Notice   Running billing task
2019-01-20-02-02-28  Notice   Billing task complete
2019-01-20-02-02-28  Notice   Running mailing task
