2019-01-18-20-46-43  Notice   Starting Nancy on http://localhost:8888
2019-01-18-20-46-54  Notice   Application started
2019-01-18-20-46-54  Notice   Running mailing task
2019-01-18-20-46-54  Notice   Mailing task complete
2019-01-18-20-46-54  Notice   Running billing task
2019-01-18-20-46-58  Notice   Billing process modified Justin D. J. Garcia: Created bill 20190118M0000112 for Justin D. J. Garcia in Piratenpartei Zentralschweiz
2019-01-18-20-46-58  Notice   User admin id 2d14db38-9839-439e-94ca-6a332f8d56c6 logged in.
2019-01-18-20-47-00  Notice   Billing process modified Jeffrey Rodriguez: Created bill 20190118M0000113 for Jeffrey Rodriguez in Piratenpartei Zentralschweiz
2019-01-18-20-47-01  Notice   Billing process modified George Bell: Created bill 20190118M0000114 for George Bell in Piratenpartei Zentralschweiz
2019-01-18-20-47-02  Notice   Billing process modified Amy A. Ward: Created bill 20190118M0000115 for Amy A. Ward in Piratenpartei Zentralschweiz
2019-01-18-20-47-03  Notice   Billing process modified Brian Stewart: Created bill 20190118M0000116 for Brian Stewart in Piratenpartei Zentralschweiz
2019-01-18-20-47-03  Notice   Billing task complete
2019-01-18-20-47-03  Notice   Running mailing task
2019-01-18-20-47-04  Verbose  Sending message to "John B. Hayes" <stefan+john.hayes@savvy.ch>
2019-01-18-20-47-04  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-47-04  Info     Message sent to "John B. Hayes" <stefan+john.hayes@savvy.ch>
2019-01-18-20-47-04  Notice   Billing process modified John B. Hayes: Sent bill 20190118M0000111 using template L1G by e-mail to stefan+john.hayes@savvy.ch
2019-01-18-20-47-04  Verbose  Sending message to "Justin D. J. Garcia" <stefan+justin.garcia@savvy.ch>
2019-01-18-20-47-04  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-47-04  Info     Message sent to "Justin D. J. Garcia" <stefan+justin.garcia@savvy.ch>
2019-01-18-20-47-04  Notice   Billing process modified Justin D. J. Garcia: Sent bill 20190118M0000112 using template L1G by e-mail to stefan+justin.garcia@savvy.ch
2019-01-18-20-47-04  Verbose  Sending message to "Jeffrey Rodriguez" <stefan+jeffrey.rodriguez@savvy.ch>
2019-01-18-20-47-04  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-47-05  Info     Message sent to "Jeffrey Rodriguez" <stefan+jeffrey.rodriguez@savvy.ch>
2019-01-18-20-47-05  Notice   Billing process modified Jeffrey Rodriguez: Sent bill 20190118M0000113 using template L1G by e-mail to stefan+jeffrey.rodriguez@savvy.ch
2019-01-18-20-47-05  Verbose  Sending message to "George Bell" <stefan+george.bell@savvy.ch>
2019-01-18-20-47-05  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-47-05  Info     Message sent to "George Bell" <stefan+george.bell@savvy.ch>
2019-01-18-20-47-05  Notice   Billing process modified George Bell: Sent bill 20190118M0000114 using template L1G by e-mail to stefan+george.bell@savvy.ch
2019-01-18-20-47-05  Verbose  Sending message to "Amy A. Ward" <stefan+amy.ward@savvy.ch>
2019-01-18-20-47-05  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-47-05  Info     Message sent to "Amy A. Ward" <stefan+amy.ward@savvy.ch>
2019-01-18-20-47-05  Notice   Billing process modified Amy A. Ward: Sent bill 20190118M0000115 using template L1G by e-mail to stefan+amy.ward@savvy.ch
2019-01-18-20-47-05  Notice   Mailing task complete
