2019-01-18-20-36-58  Notice   Starting Nancy on http://localhost:8888
2019-01-18-20-37-10  Notice   Application started
2019-01-18-20-37-10  Notice   Running mailing task
2019-01-18-20-37-10  Notice   Mailing task complete
2019-01-18-20-37-10  Notice   Running billing task
2019-01-18-20-37-14  Notice   Billing process modified Laura Johnson: Created bill 20190118M0000097 for Laura Johnson in Piratenpartei Zentralschweiz
2019-01-18-20-37-14  Notice   User admin id 2d14db38-9839-439e-94ca-6a332f8d56c6 logged in.
2019-01-18-20-37-15  Notice   Billing process modified John A. B. Ross: Created bill 20190118M0000098 for John A. B. Ross in Piratenpartei Zentralschweiz
2019-01-18-20-37-16  Notice   Billing process modified Donald Parker: Created bill 20190118M0000099 for Donald Parker in Piratenpartei Zentralschweiz
2019-01-18-20-37-17  Notice   Billing process modified Kevin D. B. Jackson: Created bill 20190118M0000100 for Kevin D. B. Jackson in Piratenpartei Zentralschweiz
2019-01-18-20-37-19  Notice   Billing process modified Matthew Rivera: Created bill 20190118M0000101 for Matthew Rivera in Piratenpartei Zentralschweiz
2019-01-18-20-37-19  Notice   Billing task complete
2019-01-18-20-37-19  Notice   Running mailing task
2019-01-18-20-37-19  Verbose  Sending message to "Laura B. Young" <stefan+laura.young@savvy.ch>
2019-01-18-20-37-19  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-37-19  Info     Message sent to "Laura B. Young" <stefan+laura.young@savvy.ch>
2019-01-18-20-37-19  Notice   Billing process modified Laura B. Young: Sent bill 20190118M0000096 using template L1G by e-mail to stefan+laura.young@savvy.ch
2019-01-18-20-37-19  Verbose  Sending message to "Laura Johnson" <stefan+laura.johnson@savvy.ch>
2019-01-18-20-37-19  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-37-20  Info     Message sent to "Laura Johnson" <stefan+laura.johnson@savvy.ch>
2019-01-18-20-37-20  Notice   Billing process modified Laura Johnson: Sent bill 20190118M0000097 using template L1G by e-mail to stefan+laura.johnson@savvy.ch
2019-01-18-20-37-20  Verbose  Sending message to "John A. B. Ross" <stefan+john.ross@savvy.ch>
2019-01-18-20-37-20  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-37-20  Info     Message sent to "John A. B. Ross" <stefan+john.ross@savvy.ch>
2019-01-18-20-37-20  Notice   Billing process modified John A. B. Ross: Sent bill 20190118M0000098 using template L1G by e-mail to stefan+john.ross@savvy.ch
2019-01-18-20-37-20  Verbose  Sending message to "Donald Parker" <stefan+donald.parker@savvy.ch>
2019-01-18-20-37-20  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-37-20  Info     Message sent to "Donald Parker" <stefan+donald.parker@savvy.ch>
2019-01-18-20-37-20  Notice   Billing process modified Donald Parker: Sent bill 20190118M0000099 using template L1G by e-mail to stefan+donald.parker@savvy.ch
2019-01-18-20-37-20  Verbose  Sending message to "Kevin D. B. Jackson" <stefan+kevin.jackson@savvy.ch>
2019-01-18-20-37-20  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-18-20-37-20  Info     Message sent to "Kevin D. B. Jackson" <stefan+kevin.jackson@savvy.ch>
2019-01-18-20-37-20  Notice   Billing process modified Kevin D. B. Jackson: Sent bill 20190118M0000100 using template L1G by e-mail to stefan+kevin.jackson@savvy.ch
2019-01-18-20-37-20  Notice   Mailing task complete
