2019-01-19-01-23-55  Notice   Starting Nancy on http://localhost:8888
2019-01-19-01-24-07  Notice   Application started
2019-01-19-01-24-07  Notice   Running mailing task
2019-01-19-01-24-07  Notice   Mailing task complete
2019-01-19-01-24-07  Notice   Running billing task
2019-01-19-01-24-12  Notice   Billing process modified Margaret M. Lee: Created bill 20190119M0000195 for Margaret M. Lee in Piratenpartei Zentralschweiz
2019-01-19-01-24-13  Notice   Billing process modified Emily Thompson: Created bill 20190119M0000196 for Emily Thompson in Piratenpartei Zentralschweiz
2019-01-19-01-24-15  Notice   Billing process modified Nicole J. S. James: Created bill 20190119M0000197 for Nicole J. S. James in Piratenpartei Zentralschweiz
2019-01-19-01-24-16  Notice   Billing process modified Nicholas N. Howard: Created bill 20190119M0000198 for Nicholas N. Howard in Piratenpartei Zentralschweiz
2019-01-19-01-24-17  Notice   Billing process modified Scott Perry: Created bill 20190119M0000199 for Scott Perry in Piratenpartei Zentralschweiz
2019-01-19-01-24-18  Notice   Billing process modified Timothy K. Carter: Created bill 20190119M0000200 for Timothy K. Carter in Piratenpartei Zentralschweiz
2019-01-19-01-24-19  Notice   Billing process modified John Ross: Created bill 20190119M0000201 for John Ross in Piratenpartei Zentralschweiz
2019-01-19-01-24-20  Notice   Billing process modified Donna D. M. Allen: Created bill 20190119M0000202 for Donna D. M. Allen in Piratenpartei Zentralschweiz
2019-01-19-01-24-21  Notice   Billing process modified Stephen Diaz: Created bill 20190119M0000203 for Stephen Diaz in Piratenpartei Zentralschweiz
2019-01-19-01-24-22  Notice   Billing process modified Nancy Harris: Created bill 20190119M0000204 for Nancy Harris in Piratenpartei Zentralschweiz
2019-01-19-01-24-24  Notice   Billing process modified Jeffrey T. Jones: Created bill 20190119M0000205 for Jeffrey T. Jones in Piratenpartei Zentralschweiz
2019-01-19-01-24-25  Notice   Billing process modified Amanda Lopez: Created bill 20190119M0000206 for Amanda Lopez in Piratenpartei Zentralschweiz
2019-01-19-01-24-26  Notice   Billing process modified Jason Baker: Created bill 20190119M0000207 for Jason Baker in Piratenpartei Zentralschweiz
2019-01-19-01-24-27  Notice   Billing process modified Amy N. D. Lee: Created bill 20190119M0000208 for Amy N. D. Lee in Piratenpartei Zentralschweiz
2019-01-19-01-24-28  Notice   Billing process modified Jonathan J. G. Phillips: Created bill 20190119M0000209 for Jonathan J. G. Phillips in Piratenpartei Zentralschweiz
2019-01-19-01-24-29  Notice   Billing process modified Daniel R. Bryant: Created bill 20190119M0000210 for Daniel R. Bryant in Piratenpartei Zentralschweiz
2019-01-19-01-24-30  Notice   Billing process modified Paul W. R. Jackson: Created bill 20190119M0000211 for Paul W. R. Jackson in Piratenpartei Zentralschweiz
2019-01-19-01-24-31  Notice   Billing process modified Richard Powell: Created bill 20190119M0000212 for Richard Powell in Piratenpartei Zentralschweiz
2019-01-19-01-24-33  Notice   Billing process modified Brandon Young: Created bill 20190119M0000213 for Brandon Young in Piratenpartei Zentralschweiz
2019-01-19-01-24-34  Notice   Billing process modified Thomas Wright: Created bill 20190119M0000214 for Thomas Wright in Piratenpartei Zentralschweiz
2019-01-19-01-24-35  Notice   Billing process modified Ryan M. K. Jenkins: Created bill 20190119M0000215 for Ryan M. K. Jenkins in Piratenpartei Zentralschweiz
2019-01-19-01-24-36  Notice   Billing process modified Linda R. C. Harris: Created bill 20190119M0000216 for Linda R. C. Harris in Piratenpartei Zentralschweiz
2019-01-19-01-24-37  Notice   Billing process modified Joshua G. Smith: Created bill 20190119M0000217 for Joshua G. Smith in Piratenpartei Zentralschweiz
2019-01-19-01-24-38  Notice   Billing process modified Jason Coleman: Created bill 20190119M0000218 for Jason Coleman in Piratenpartei Zentralschweiz
2019-01-19-01-24-39  Notice   Billing process modified Brenda Ramirez: Created bill 20190119M0000219 for Brenda Ramirez in Piratenpartei Zentralschweiz
2019-01-19-01-24-41  Notice   Billing process modified Scott B. W. Howard: Created bill 20190119M0000220 for Scott B. W. Howard in Piratenpartei Zentralschweiz
2019-01-19-01-24-42  Notice   Billing process modified Betty Wood: Created bill 20190119M0000221 for Betty Wood in Piratenpartei Zentralschweiz
2019-01-19-01-24-43  Notice   Billing process modified Eric Johnson: Created bill 20190119M0000222 for Eric Johnson in Piratenpartei Zentralschweiz
2019-01-19-01-24-44  Notice   Billing process modified Ashley L. Patterson: Created bill 20190119M0000223 for Ashley L. Patterson in Piratenpartei Zentralschweiz
2019-01-19-01-24-45  Notice   Billing process modified Stefan Thöni: Created bill 20190119M0000224 for Stefan Thöni in Piratenpartei Zentralschweiz
2019-01-19-01-24-45  Notice   Billing task complete
2019-01-19-01-24-45  Notice   Running mailing task
2019-01-19-01-24-46  Verbose  Sending message to "William M. C. Carter" <stefan+william.carter@savvy.ch>
2019-01-19-01-24-46  Verbose  Connected to mail server mail.savvy.ch:587
2019-01-19-01-24-46  Info     Message sent to "William M. C. Carter" <stefan+william.carter@savvy.ch>
2019-01-19-01-24-46  Notice   Billing process modified William M. C. Carter: Sent bill 20190119M0000191 using template L1G by e-mail to stefan+william.carter@savvy.ch
2019-01-19-01-24-46  Verbose  Sending message to "Brenda Butler" <stefan+brenda.butler@savvy.ch>
