2019-01-18-00-26-43  Notice   Starting Nancy on http://localhost:8888
2019-01-18-00-26-55  Notice   Application started
2019-01-18-00-26-55  Notice   Running mailing task
2019-01-18-00-26-55  Notice   Mailing task complete
2019-01-18-00-26-55  Notice   Running billing task
2019-01-18-00-26-56  Notice   Billing process modified Elizabeth Miller: Created bill 20190118M0000012 for Elizabeth Miller in Piratenpartei Zentralschweiz
2019-01-18-00-26-58  Notice   Billing process modified Kimberly S. N. Wood: Created bill 20190118M0000013 for Kimberly S. N. Wood in Piratenpartei Zentralschweiz
2019-01-18-00-26-59  Notice   Billing process modified George Barnes: Created bill 20190118M0000014 for George Barnes in Piratenpartei Zentralschweiz
2019-01-18-00-27-00  Notice   Billing process modified Elizabeth A. A. Turner: Created bill 20190118M0000015 for Elizabeth A. A. Turner in Piratenpartei Zentralschweiz
2019-01-18-00-27-01  Notice   Billing process modified Angela Bryant: Created bill 20190118M0000016 for Angela Bryant in Piratenpartei Zentralschweiz
2019-01-18-00-27-01  Notice   Billing task complete
2019-01-18-00-27-01  Notice   Running mailing task
2019-01-18-00-27-01  Notice   No bill sending template for Mitglied in Piratenpartei Zentralschweiz in German at level 1
2019-01-18-00-27-01  Notice   No bill sending template for Mitglied in Piratenpartei Zentralschweiz in German at level 1
2019-01-18-00-27-01  Notice   No bill sending template for Mitglied in Piratenpartei Zentralschweiz in German at level 1
2019-01-18-00-27-01  Notice   No bill sending template for Mitglied in Piratenpartei Zentralschweiz in German at level 1
2019-01-18-00-27-01  Notice   No bill sending template for Mitglied in Piratenpartei Zentralschweiz in German at level 1
2019-01-18-00-27-01  Notice   Mailing task complete
2019-01-18-00-27-10  Notice   User admin id 2d14db38-9839-439e-94ca-6a332f8d56c6 logged in.
2019-01-18-00-28-02  Notice   admin added bill sending template L1G
